replicate	ancient_sample	true_T	map_T	mean_T	ci95_lower_T	ci95_upper_T	contains_true_95	error	abs_error	min_ne_to_T	geomean_ne_to_T	sd_log_ne_to_T	global_min_ne	global_log_ne_range	realised_epsilon
9	ancient_07	7966.418796031631	8440.0	8480.803385220062	8030.229850453506	8939.64112398984	0	473.58120396836875	473.58120396836875	8441.11970594118	11768.340797102737	0.49503264660112956	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_08	8660.067315548298	8940.0	9033.225242526827	8681.424374788068	9405.124858472027	0	279.9326844517018	279.9326844517018	8441.11970594118	12160.376339027169	0.48760846038801786	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_09	9733.83265177519	10000.0	9944.153523003433	9799.630698864601	9998.23173170095	0	266.16734822480976	266.16734822480976	8441.11970594118	12675.863112067604	0.47480026197175756	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_10	9825.265074804809	9340.0	9338.0647489634	8831.281642994005	9863.337803834063	1	-485.26507480480905	485.26507480480905	8441.11970594118	12715.42219704626	0.47367822180395674	8441.11970594118	2.409307414157137	0.009790536413609744
10	ancient_01	911.3844531091308	840.0	840.0704749635032	789.7157372212446	897.4992663185549	0	-71.38445310913085	71.38445310913085	6927.5308952398855	20190.458719391918	0.9790341581736204	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_02	1982.1408135710162	1340.0	1406.4268887607077	1300.1330412054776	1570.9247345929264	0	-642.1408135710162	642.1408135710162	6927.5308952398855	16234.61522488193	0.798219564273874	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_03	1987.4256878934204	1440.0	1497.403754007346	1331.3152597155238	1833.1746330156805	0	-547.4256878934204	547.4256878934204	6927.5308952398855	16245.31911542242	0.7972597533367526	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_04	4133.866824370044	4400.0	4395.129424897182	4330.10987022688	4459.547253709276	0	266.133175629956	266.133175629956	5110.823813736956	13280.009593420516	0.7724352598406484	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_05	4766.573610262664	4920.0	4899.688117627599	4779.782580651987	4978.681909887743	0	153.42638973733574	153.42638973733574	5110.823813736956	11699.05630110397	0.7889399277017981	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_06	4966.301590644185	5360.0	5330.511626882506	5145.82791697247	5445.148556160548	0	393.6984093558149	393.6984093558149	5110.823813736956	11315.832653425834	0.7898523842375884	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_07	7201.976935522946	7300.0	7308.235381715167	7224.766224096674	7393.097952523332	0	98.0230644770536	98.0230644770536	5110.823813736956	8841.563914431721	0.7519582930909946	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_08	8376.568054648416	10000.0	9758.789182293462	9221.238867925405	9992.653363671818	0	1623.4319453515836	1623.4319453515836	5110.823813736956	10535.817524696791	0.9099797779064626	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_09	8967.829359259536	9720.0	9482.232615916579	8663.891351809278	9974.662885277508	1	752.1706407404636	752.1706407404636	5110.823813736956	11772.593628352924	0.973654400322604	5110.823813736956	2.889821436474149	0.01011676906745585
10	ancient_10	9158.254831280598	8820.0	8857.637955971495	7982.2875242484915	9711.39890080102	1	-338.2548312805975	338.2548312805975	5110.823813736956	12163.874254333874	0.9892604672837589	5110.823813736956	2.889821436474149	0.01011676906745585
11	ancient_01	458.6692240718937	1360.0	1063.890438002774	528.8832646041587	1461.9457710282782	0	901.3307759281063	901.3307759281063	14029.508378217883	24559.549753350086	0.39542062466020567	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_02	632.910637484555	460.0	565.7602420405607	257.52267556926626	1153.841426340854	1	-172.91063748455497	172.91063748455497	14029.508378217883	30146.781358095166	0.6185754811775124	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_03	884.2075344310574	1580.0	1570.818560066678	1453.9098525621257	1677.8259719002733	0	695.7924655689426	695.7924655689426	14029.508378217883	45649.32535000172	0.8411085540413727	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_04	2016.7616918542842	1760.0	1798.7286663790958	1658.4050714048055	1938.279743144657	0	-256.7616918542842	256.7616918542842	14029.508378217883	39848.60695926092	0.9676149686127953	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_05	2712.5131128213143	2860.0	2859.7090253392826	2743.4811758596957	2964.458851809166	0	147.48688717868572	147.48688717868572	14029.508378217883	31211.493616163523	0.9322703743224957	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_06	4451.658203143905	4580.0	4580.9303283439185	3674.4943651035555	5503.576491051402	1	128.34179685609524	128.34179685609524	14029.508378217883	43582.71809017706	1.0179684079643165	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_07	4619.546843899841	5080.0	5156.5235747873485	4260.201729162929	6114.099607069935	1	460.4531561001586	460.4531561001586	14029.508378217883	45304.098276575496	1.0190124708738508	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_08	5120.518152966172	5380.0	5372.160154217092	4430.90760715538	6336.960216615545	1	259.48184703382776	259.48184703382776	14029.508378217883	50093.31556393354	1.0148461083694096	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_09	7502.202956386398	7000.0	6895.469809500611	5916.659533312206	7724.181598886547	1	-502.202956386398	502.202956386398	14029.508378217883	67210.21582474829	0.9427807344582927	6496.719444405778	2.9946760244142183	0.010227272727272727
11	ancient_10	9038.89674892188	8680.0	8703.79431532781	8089.233386579323	9334.599295261185	1	-358.8967489218794	358.8967489218794	14029.508378217883	68218.64056462502	0.8595395637124804	6496.719444405778	2.9946760244142183	0.010227272727272727
12	ancient_01	47.02770169447312	120.0	91.98278447710385	6.114995854993023	179.83361809789176	1	72.97229830552688	72.97229830552688	37885.19571002061	37885.19571002061	0.0	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_02	76.65599775279031	0.0	75.21675796310194	3.4415687018737238	206.47267459427792	1	-76.65599775279031	76.65599775279031	37885.19571002061	37885.19571002061	0.0	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_03	1323.2609974847887	1240.0	1236.276733035324	1165.0977868534922	1315.6047227955953	0	-83.26099748478873	83.26099748478873	5951.04310187369	7951.31508549562	0.4892050346347598	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_04	1588.9998162869713	1300.0	1330.9199656547933	1211.2900859174003	1530.1844046044025	0	-288.9998162869713	288.9998162869713	5951.04310187369	9206.747436412024	0.5616519114976775	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_05	3675.606741633515	3420.0	3437.961522644819	3244.025073096727	3665.4727181932626	0	-255.60674163351496	255.60674163351496	5951.04310187369	13392.047068482716	0.5167432153345584	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_06	4752.633125059019	5220.0	5247.480058775667	5028.417833686437	5503.522000569752	0	467.3668749409808	467.3668749409808	5951.04310187369	13173.873991407781	0.45544733002412396	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_07	7764.4905450251	7400.0	7541.099692743189	7227.6244853633	8063.840798171136	1	-364.4905450250999	364.4905450250999	5951.04310187369	13420.920914623586	0.41335711216207893	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_08	8172.676618002689	8540.0	8543.34212298904	7849.946165316386	9240.653403583754	1	367.3233819973111	367.3233819973111	5951.04310187369	14182.004410043948	0.46926009577321015	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_09	8409.794807704855	8380.0	8313.672240686159	7650.2596326124285	8955.613508523358	1	-29.794807704854975	29.794807704854975	5951.04310187369	14607.827291183161	0.49412669892561695	5951.04310187369	2.457582448971195	0.010245310245310245
12	ancient_10	8966.379418363673	8580.0	8520.744823221834	7855.0183461219285	9205.487284864728	1	-386.3794183636728	386.3794183636728	5951.04310187369	15562.308486636224	0.5380863165884503	5951.04310187369	2.457582448971195	0.010245310245310245
13	ancient_01	811.7128798343542	1440.0	1451.943782124028	1381.297032089318	1519.2279608971996	0	628.2871201656458	628.2871201656458	39190.92002762654	54967.79668428853	0.40349905998173696	5834.560387608353	3.20983717795656	0.010145405025478827
13	ancient_02	3476.8177073911966	4740.0	4652.724110092167	4206.115724256766	5122.441203502449	0	1263.1822926088034	1263.1822926088034	8667.314360398788	19517.235466449598	0.8829732196713604	5834.560387608353	3.20983717795656	0.010145405025478827
13	ancient_03	4269.910233213551	5020.0	5042.523232271825	4671.432139617487	5463.262627262942	0	750.0897667864492	750.0897667864492	8667.314360398788	23029.225107316724	0.8688253075837634	5834.560387608353	3.20983717795656	0.010145405025478827
