T	log_posterior	density
7920	-45312.7	1.47345e-47
7940	-45313.3	8.05933e-48
7960	-45314.1	3.40959e-48
7980	-45315.1	1.26028e-48
8000	-45316	5.46179e-49
8020	-45316.8	2.25251e-49
8040	-45317.8	8.57251e-50
8060	-45318.6	4.0449e-50
8080	-45319.5	1.6503e-50
8100	-45320.5	5.68092e-51
8120	-45321.3	2.66403e-51
8140	-45322.4	8.66322e-52
8160	-45323.3	3.48149e-52
8180	-45324.3	1.3506e-52
8200	-45325	6.18125e-53
8220	-45325.9	2.67197e-53
8240	-45326.6	1.31953e-53
8260	-45327.6	4.7365e-54
8280	-45328.5	2.02137e-54
8300	-45329.5	7.26002e-55
8320	-45330.4	2.85271e-55
8340	-45331.3	1.18683e-55
8360	-45332.3	4.4393e-56
8380	-45333.1	1.95762e-56
8400	-45334	7.66479e-57
8420	-45335.1	2.55477e-57
8440	-45336.1	1.01617e-57
8460	-45336.9	4.20838e-58
8480	-45338.1	1.35092e-58
8500	-45339	5.34173e-59
8520	-45339.9	2.18978e-59
8540	-45340.9	8.09018e-60
8560	-45341.7	3.52148e-60
8580	-45342.9	1.04758e-60
8600	-45343.8	4.51458e-61
8620	-45344.9	1.52883e-61
8640	-45345.9	5.32297e-62
8660	-45346.7	2.3847e-62
8680	-45347.8	8.08901e-63
8700	-45348.8	2.90498e-63
8720	-45349.7	1.26739e-63
8740	-45351	3.20357e-64
8760	-45352	1.26006e-64
8780	-45352.9	5.05074e-65
8800	-45354	1.71469e-65
8820	-45354.7	8.01131e-66
8840	-45355.9	2.53797e-66
8860	-45357.1	7.63717e-67
8880	-45357.7	4.03287e-67
8900	-45359	1.07705e-67
8920	-45360	3.9706e-68
8940	-45361.1	1.37997e-68
8960	-45362.1	4.74331e-69
8980	-45363.4	1.32653e-69
9000	-45364.4	5.00769e-70
9020	-45365.4	1.85683e-70
9040	-45366.5	6.10516e-71
9060	-45367.5	2.21891e-71
9080	-45368.3	1.04867e-71
9100	-45369.6	2.68977e-72
9120	-45370.4	1.23819e-72
9140	-45371.8	3.07501e-73
9160	-45372.8	1.14161e-73
9180	-45373.6	5.04155e-74
9200	-45374.9	1.39121e-74
9220	-45375.8	5.82617e-75
9240	-45376.9	1.80655e-75
9260	-45378.1	5.66992e-76
9280	-45379	2.27796e-76
9300	-45380.4	5.4768e-77
9320	-45381.6	1.66247e-77
9340	-45382.4	7.63904e-78
9360	-45383.6	2.34094e-78
9380	-45384.7	7.63495e-79
9400	-45385.6	2.99257e-79
9420	-45386.8	9.22608e-80
9440	-45387.9	3.04184e-80
9460	-45389	1.06333e-80
9480	-45390	3.73331e-81
9500	-45391.2	1.12129e-81
9520	-45392.5	3.16697e-82
9540	-45393.5	1.2012e-82
9560	-45394.6	3.78195e-83
9580	-45395.8	1.18438e-83
9600	-45396.9	3.92023e-84
9620	-45397.9	1.43663e-84
9640	-45398.8	5.56406e-85
9660	-45399.7	2.29695e-85
9680	-45401.1	5.91096e-86
9700	-45402.1	2.17203e-86
9720	-45403	8.56577e-87
9740	-45404.2	2.62359e-87
9760	-45405.3	8.59955e-88
9780	-45406.3	3.09562e-88
9800	-45407.5	1.00363e-88
9820	-45408.4	3.73764e-89
9840	-45409.5	1.29883e-89
9860	-45410.7	4.07046e-90
9880	-45411.8	1.28682e-90
9900	-45413	4.03167e-91
9920	-45413.8	1.7589e-91
9940	-45415.1	5.00675e-92
9960	-45416.3	1.50492e-92
9980	-45417.3	5.43952e-93
10000	-45418.3	1.88865e-93
