replicate	true_T	map_T	mean_T	median_T	ci95_lower_T	ci95_upper_T	contains_true_95	model	Ne	epsilon
253	1233.501002967959	200.0	1110.1235472774908	689.2582041943542	40.72285318622046	2857.4368486373623	1	direct ancient-lineage insertion conditional on modern tree	68204.0	0.0
254	4431.266449251733	2800.0	2396.237172106145	2563.8662969246334	1152.9795110550003	3329.1153329055282	0	direct ancient-lineage insertion conditional on modern tree	93387.0	0.0
255	2193.6721283416296	1550.0	1692.538910465285	1659.9093534740305	1011.69265932904	2579.700949675315	1	direct ancient-lineage insertion conditional on modern tree	93688.0	0.0
256	2538.3676403587674	2400.0	2486.501436265589	2481.734100975831	1827.1116381877266	3134.550100648185	1	direct ancient-lineage insertion conditional on modern tree	69527.0	0.0
257	623.3981177697488	600.0	595.3389712114882	595.7098553852685	444.2720393125355	741.9259672376484	1	direct ancient-lineage insertion conditional on modern tree	20399.0	0.0
258	196.2561909418896	1550.0	1483.7862266152433	1481.6261846299117	713.2951147901922	2266.113694067761	0	direct ancient-lineage insertion conditional on modern tree	95001.0	0.0
259	6846.098847108479	4200.0	4365.050993488641	4305.191258197493	3264.585878593645	5786.260762262952	0	direct ancient-lineage insertion conditional on modern tree	48616.0	0.0
260	6521.139212988309	6400.0	6387.60150359412	6394.46713737427	6053.063624083863	6685.279166373396	1	direct ancient-lineage insertion conditional on modern tree	94758.0	0.0
261	5191.743710136958	5600.0	5485.193340487656	5498.2386418085125	4893.839788684713	6017.191473716389	1	direct ancient-lineage insertion conditional on modern tree	27523.0	0.0
262	5447.333036053449	3850.0	4008.2015112018616	3967.3568296748113	3359.9856828370657	4757.996622439869	0	direct ancient-lineage insertion conditional on modern tree	53163.0	0.0
263	7365.641389314209	7150.0	7138.5229057791075	7153.440561417173	6711.270284120311	7500.258657383767	1	direct ancient-lineage insertion conditional on modern tree	31175.0	0.0
264	1046.766720765713	700.0	855.0635532077024	837.235686981375	412.8769728711399	1334.00195034845	1	direct ancient-lineage insertion conditional on modern tree	62200.0	0.0
265	2892.1099943148924	3100.0	3010.58135305136	3023.82686829306	2620.186337356702	3346.846116939038	1	direct ancient-lineage insertion conditional on modern tree	20831.0	0.0
266	8813.818082894595	8050.0	8085.329582057148	8079.813413361281	7376.419307289096	8847.530886020837	1	direct ancient-lineage insertion conditional on modern tree	68301.0	0.0
267	3089.05581259981	2900.0	2883.642968371669	2888.8417512249066	2592.878002405719	3159.997348352984	1	direct ancient-lineage insertion conditional on modern tree	59372.0	0.0
268	5210.17896485583	5550.0	5542.798786060059	5529.43236136045	4883.482480048418	6245.6677883497405	1	direct ancient-lineage insertion conditional on modern tree	71739.0	0.0
269	9646.626589032183	8800.0	8712.498870238831	8728.453792170269	8078.422006794328	9283.088103492059	0	direct ancient-lineage insertion conditional on modern tree	97635.0	0.0
270	6818.062068557534	6100.0	6134.441363175488	6126.186891211559	5246.809074413094	7064.505925084479	1	direct ancient-lineage insertion conditional on modern tree	98799.0	0.0
271	5146.8265794107965	4200.0	4139.309662300196	4166.2781608364585	3706.7579275481075	4438.942463394272	0	direct ancient-lineage insertion conditional on modern tree	22805.0	0.0
272	8396.097751457772	8050.0	8040.357846154195	8042.701804131632	7281.194215214934	8791.026750521944	1	direct ancient-lineage insertion conditional on modern tree	46609.0	0.0
273	5851.945629441741	6050.0	6046.474919910554	6050.539555972963	5771.102926390006	6304.785162836302	1	direct ancient-lineage insertion conditional on modern tree	44896.0	0.0
274	3363.4416526529417	3300.0	3201.831630070753	3230.3039024799373	2554.4429152288267	3747.764932341546	1	direct ancient-lineage insertion conditional on modern tree	67955.0	0.0
275	4951.281699807864	5150.0	5077.776474499787	5092.746455240407	4802.998621683789	5276.039947405465	1	direct ancient-lineage insertion conditional on modern tree	28485.0	0.0
276	8323.604185573702	8300.0	8225.271332163125	8280.36057734409	6659.351728207111	9134.662977462085	1	direct ancient-lineage insertion conditional on modern tree	63960.0	0.0
277	6653.506170243641	7150.0	7205.071622835977	7200.8614086750395	6766.918783392473	7642.522101466232	0	direct ancient-lineage insertion conditional on modern tree	88015.0	0.0
278	669.9274483889327	550.0	546.3142535838863	546.6463584365865	189.00637986595763	886.0729829393418	1	direct ancient-lineage insertion conditional on modern tree	88884.0	0.0
279	3556.9974791420154	3550.0	3522.1519779252512	3529.4846851693637	3208.154630782984	3815.568135609737	1	direct ancient-lineage insertion conditional on modern tree	49929.0	0.0
280	9773.976492205991	8900.0	8938.685352634526	8935.280528485262	8557.666967897923	9325.048641541325	0	direct ancient-lineage insertion conditional on modern tree	78591.0	0.0
281	8755.905473942392	9150.0	9086.456870775171	9106.099293955906	8330.795667004086	9745.973066019744	1	direct ancient-lineage insertion conditional on modern tree	82562.0	0.0
